event_id,user_id,event_type,timestamp
e00000,u001,click,2024-02-05 23:00:00
e00001,u018,login,2024-01-09 00:00:00
e00002,u020,login,2024-07-02 20:00:00
e00003,u015,logout,2024-08-10 00:00:00
e00004,u014,view,2024-02-25 10:00:00
e00005,u012,view,2024-07-25 01:00:00
e00006,u013,login,2024-07-31 20:00:00
e00007,u019,click,2024-01-12 21:00:00
e00008,u003,click,2024-04-07 08:00:00
e00009,u006,view,2024-06-20 08:00:00
e00010,u003,logout,2024-05-16 23:00:00
e00011,u009,logout,2024-02-26 21:00:00
e00012,u002,click,2024-07-25 10:00:00
e00013,u019,view,2024-05-07 12:00:00
e00015,u014,logout,2024-02-26 04:00:00
e00016,u002,login,2024-02-10 21:00:00
e00017,u013,logout,2024-05-15 08:00:00
e00018,u001,logout,2024-06-23 17:00:00
e00019,u011,login,2024-02-10 14:00:00
e00020,u025,login,2024-01-28 20:00:00
e00021,u020,click,2024-07-14 05:00:00
e00022,u017,login,2024-05-05 00:00:00
e00025,u018,login,2024-08-11 19:00:00
e00026,u018,click,2024-04-12 21:00:00
e00027,u017,purchase,2024-02-27 02:00:00
e00028,u008,logout,2024-01-19 22:00:00
e00029,u002,view,2024-03-01 08:00:00
e00032,u022,logout,2024-01-26 01:00:00
e00034,u015,click,2024-01-20 14:00:00
e00036,u008,login,2024-05-03 06:00:00
e00038,u015,click,2024-07-06 17:00:00
e00039,u007,click,2024-01-15 18:00:00
e00040,u011,login,2024-05-02 16:00:00
e00041,u002,purchase,2024-02-17 02:00:00
e00042,u008,view,2024-08-15 18:00:00
e00043,u020,login,2024-05-29 18:00:00
e00044,u007,logout,2024-03-02 08:00:00
e00046,u007,purchase,2024-08-26 11:00:00
e00047,u012,click,2024-08-01 17:00:00
e00051,u017,purchase,2024-08-20 01:00:00
e00053,u006,purchase,2024-04-19 17:00:00
e00054,u023,login,2024-08-01 11:00:00
e00056,u008,logout,2024-07-18 17:00:00
e00057,u020,login,2024-03-01 05:00:00
e00058,u014,login,2024-08-24 10:00:00
e00059,u022,click,2024-07-20 22:00:00
e00062,u003,click,2024-05-10 12:00:00
e00063,u011,login,2024-03-07 05:00:00
e00064,u002,login,2024-03-29 23:00:00
e00065,u017,login,2024-05-27 06:00:00
e00066,u001,purchase,2024-05-17 21:00:00
e00067,u022,click,2024-01-18 21:00:00
e00068,u022,login,2024-03-17 16:00:00
e00069,u013,click,2024-02-19 13:00:00
e00070,u024,login,2024-03-18 12:00:00
e00072,u015,purchase,2024-05-10 15:00:00
e00073,u024,login,2024-03-13 16:00:00
e00074,u003,click,2024-02-27 06:00:00
e00076,u019,click,2024-04-08 15:00:00
e00077,u023,login,2024-08-08 03:00:00
e00078,u023,purchase,2024-05-22 07:00:00
e00080,u015,logout,2024-08-16 16:00:00
e00081,u015,login,2024-05-01 14:00:00
e00082,u021,click,2024-05-13 15:00:00
e00083,u003,click,2024-03-26 10:00:00
e00085,u011,purchase,2024-01-16 06:00:00
e00086,u025,logout,2024-01-06 18:00:00
e00088,u020,click,2024-03-10 13:00:00
e00089,u022,logout,2024-07-04 05:00:00
e00091,u003,logout,2024-08-09 14:00:00
e00092,u011,click,2024-03-27 12:00:00
e00093,u014,click,2024-04-30 00:00:00
e00094,u012,click,2024-07-18 20:00:00
e00096,u022,login,2024-02-25 14:00:00
e00097,u006,logout,2024-07-10 22:00:00
e00099,u013,view,2024-02-20 02:00:00
e00100,u008,login,2024-03-18 21:00:00
e00101,u019,login,2024-04-19 21:00:00
e00102,u011,login,2024-07-29 15:00:00
e00103,u021,purchase,2024-04-21 05:00:00
e00104,u009,logout,2024-05-17 15:00:00
e00105,u019,click,2024-03-03 02:00:00
e00106,u025,purchase,2024-06-20 12:00:00
e00107,u011,login,2024-03-31 08:00:00
e00108,u023,click,2024-05-12 06:00:00
e00110,u001,login,2024-04-13 22:00:00
e00111,u012,purchase,2024-03-29 13:00:00
e00112,u012,purchase,2024-03-05 07:00:00
e00114,u009,logout,2024-05-14 19:00:00
e00115,u007,click,2024-02-15 09:00:00
e00116,u002,purchase,2024-02-02 20:00:00
e00117,u001,logout,2024-05-02 14:00:00
e00118,u009,purchase,2024-01-17 12:00:00
e00119,u022,login,2024-07-26 18:00:00
e00120,u008,login,2024-04-16 19:00:00
e00121,u025,purchase,2024-08-20 14:00:00
e00122,u014,click,2024-01-16 19:00:00
e00123,u025,click,2024-03-08 21:00:00
e00124,u018,login,2024-04-14 14:00:00
e00125,u002,click,2024-03-13 22:00:00
e00126,u008,click,2024-06-09 18:00:00
e00127,u014,login,2024-06-14 04:00:00
e00128,u003,login,2024-03-19 19:00:00
e00130,u017,purchase,2024-01-21 19:00:00
e00131,u011,logout,2024-01-24 07:00:00
e00132,u019,logout,2024-07-14 21:00:00
e00133,u025,login,2024-06-15 14:00:00
e00134,u019,view,2024-05-05 02:00:00
e00135,u011,logout,2024-02-11 10:00:00
e00136,u022,view,2024-05-20 01:00:00
e00137,u011,login,2024-04-13 16:00:00
e00141,u008,login,2024-01-04 17:00:00
e00143,u017,click,2024-05-03 15:00:00
e00144,u013,click,2024-05-10 23:00:00
e00145,u009,view,2024-07-20 16:00:00
e00147,u018,purchase,2024-05-21 17:00:00
e00148,u007,click,2024-02-29 13:00:00
e00149,u023,view,2024-06-18 20:00:00
e00150,u002,login,2024-05-31 10:00:00
e00151,u015,login,2024-04-26 00:00:00
e00152,u021,login,2024-07-19 08:00:00
e00153,u021,login,2024-08-06 21:00:00
e00154,u011,logout,2024-07-13 15:00:00
e00156,u014,login,2024-06-29 03:00:00
e00157,u001,login,2024-01-15 09:00:00
e00158,u008,purchase,2024-06-23 05:00:00
e00159,u013,logout,2024-05-07 18:00:00
e00160,u009,purchase,2024-01-03 14:00:00
e00161,u006,login,2024-03-29 18:00:00
e00162,u023,click,2024-03-18 06:00:00
e00164,u001,logout,2024-01-03 18:00:00
e00165,u002,logout,2024-08-01 09:00:00
e00166,u012,click,2024-06-07 08:00:00
e00167,u022,logout,2024-06-09 03:00:00
e00170,u012,purchase,2024-03-10 05:00:00
e00172,u025,click,2024-07-04 21:00:00
e00173,u018,view,2024-04-11 00:00:00
